noise_sigma,false_positive_threshold,replicates,seed,false_positive_count,false_positive_rate,max_allowed_false_positive_rate,mean_epsilon_hat,q95_abs_epsilon_hat,q99_abs_epsilon_hat,stability_band
0.0,0.03,4096,8128,0,0.0,0.01,0.0046783238364686555,0.004678323836468474,0.004678323836468474,stable
0.0,0.05,4096,8129,0,0.0,0.01,0.0046783238364686555,0.004678323836468474,0.004678323836468474,stable
0.0,0.08,4096,8130,0,0.0,0.01,0.0046783238364686555,0.004678323836468474,0.004678323836468474,stable
0.005,0.03,4096,8131,0,0.0,0.01,0.00470682068840688,0.011292540617266927,0.01437277638481013,stable
0.005,0.05,4096,8132,0,0.0,0.01,0.004671643586404182,0.011236265568666916,0.014051798173071253,stable
0.005,0.08,4096,8133,0,0.0,0.01,0.0047571228406405605,0.011380873834510523,0.014230016020510028,stable
0.01,0.03,4096,8134,7,0.001708984375,0.01,0.004724508077418575,0.018237200830348653,0.02520649674155578,stable
0.01,0.05,4096,8135,0,0.0,0.01,0.004808086368862939,0.018877461705098377,0.023915134326916537,stable
0.01,0.08,4096,8136,0,0.0,0.01,0.004694386550641273,0.01843369079882148,0.024471562755247034,stable
0.015,0.03,4096,8137,106,0.02587890625,0.01,0.005154084220180101,0.025976538604120615,0.03285521001199158,transition
0.015,0.05,4096,8138,0,0.0,0.01,0.004303523852205908,0.025264257726606853,0.03305908270429833,stable
0.015,0.08,4096,8139,0,0.0,0.01,0.00447835756727146,0.02562627348913396,0.03377616599491916,stable
0.02,0.03,4096,8140,360,0.087890625,0.01,0.005070740271752331,0.034310586770440646,0.045317693689849975,transition
0.02,0.05,4096,8141,13,0.003173828125,0.01,0.004255566444373969,0.033478071814898605,0.04368595061768578,stable
0.02,0.08,4096,8142,0,0.0,0.01,0.004730200100995886,0.03295983397222639,0.0429678274695365,stable
0.03,0.03,4096,8143,917,0.223876953125,0.01,0.0046061885541581185,0.048454052843504285,0.06438467232671971,fails
0.03,0.05,4096,8144,206,0.05029296875,0.01,0.0048266053037177795,0.050127316916649955,0.06714084162060997,transition
0.03,0.08,4096,8145,5,0.001220703125,0.01,0.004439492073157575,0.048941019875096095,0.06628653345804576,stable
0.04,0.03,4096,8146,1485,0.362548828125,0.01,0.00478427677129157,0.06506442718370643,0.08307286304501242,fails
0.04,0.05,4096,8147,553,0.135009765625,0.01,0.004929370294670617,0.06515890288268907,0.08575332871765573,fails
0.04,0.08,4096,8148,70,0.01708984375,0.01,0.005222567281369589,0.06660655428977905,0.08598196015412019,transition
0.06,0.03,4096,8149,2196,0.5361328125,0.01,0.004076319003599504,0.09771744301892435,0.12764059866877175,fails
0.06,0.05,4096,8150,1294,0.31591796875,0.01,0.0045230163503411636,0.09742055883449394,0.12990723371765703,fails
0.06,0.08,4096,8151,439,0.107177734375,0.01,0.004419193635045693,0.09712944129823614,0.12997577562122367,fails
